Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
ASRock B760M PG Riptide;£120.99;£169.99;e-catalog.co.uk/ASROCK-B760M-PG-RIPTIDE.htm;micro-ATX;Intel LGA 1700;Intel B760;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
MSI MAG Z790 TOMAHAWK WIFI DDR5;£199.99;£289.00;e-catalog.co.uk/MSI-MAG-Z790-TOMAHAWK-WIFI-DDR5.htm;ATX;Intel LGA 1700;Intel Z790;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Asus ROG STRIX B860-F GAMING WIFI;£288.99;£365.45;e-catalog.co.uk/ASUS-ROG-STRIX-B860-F-GAMING-WIFI.htm;ATX;Intel LGA 1851;Intel B860;4 х DDR5, 9066 MHz;HDMI, DisplayPort, Thunderbolt 4, M.2;PCI-E 16x - 2
Gigabyte B650M DS3H;£130.93;£169.99;e-catalog.co.uk/GIGABYTE-B650M-DS3H.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 6400 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Gigabyte B650E AORUS ELITE X AX ICE;£209.99;£249.99;e-catalog.co.uk/GIGABYTE-B650E-AORUS-ELITE-X-AX-ICE.htm;ATX;AMD AM5;AMD B650;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 3
Asus PRIME B550M-K;£83.99;£269.99;e-catalog.co.uk/ASUS-PRIME-B550M-K.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4400 MHz;HDMI, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Asus TUF GAMING A520M-PLUS WIFI;£79.99;£102.46;e-catalog.co.uk/ASUS-TUF-GAMING-A520M-PLUS-WIFI.htm;micro-ATX;AMD AM4;AMD A520;4 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 1
Asus PRIME B660M-A WIFI D4;£124.99;£266.59;e-catalog.co.uk/ASUS-PRIME-B660M-A-WIFI-D4.htm;micro-ATX;Intel LGA 1700;Intel B660;4 х DDR4, 5333 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
ASRock B850M Pro-A;£127.00;£144.89;e-catalog.co.uk/ASROCK-B850M-PRO-A.htm;micro-ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 4x - 1, PCI-E 16x - 1
ASRock B650I Lightning WiFi;£159.98;£229.41;e-catalog.co.uk/ASROCK-B650I-LIGHTNING-WIFI.htm;mini-ITX;AMD AM5;AMD B650;2 х DDR5, 7200 MHz;HDMI, M.2;PCI-E 16x - 1
